Resolver IP,Last Event Date,Attempted Rankings,Successful Rankings,Top 10 Count,Top 25 Count,Top 50 Count,Top 75 Count,Top 100 Count,Top 200 Count
62.248.102.190,4/11/2019,684287,1980,215,213,213,233,207,899
62.251.0.6,4/12/2019,684287,1630,84,132,193,202,233,786
62.251.0.7,4/11/2019,684287,1665,87,125,204,204,212,833
63.64.9.11,4/8/2019,684287,1622,98,133,215,203,198,775
63.64.9.12,4/11/2019,684287,1551,82,102,222,202,202,741
63.64.9.19,4/11/2019,684287,1678,116,114,200,216,220,812
63.66.160.10,3/30/2019,684287,1681,91,139,212,205,220,814
63.81.21.2,4/9/2019,684287,1585,67,122,208,179,177,832
63.81.21.6,4/8/2019,684287,1552,62,111,197,203,202,777
63.90.67.10,4/12/2019,684287,1729,128,111,230,228,188,844
63.91.110.178,4/11/2019,684287,34787,307,551,2745,5617,5476,20091
63.139.151.119,4/11/2019,684287,56742,1159,2687,6488,9357,8187,28864
63.146.122.11,4/12/2019,684287,185842,3848,8929,20917,24424,21306,106418
63.148.166.213,4/11/2019,684287,11738,198,879,3096,1536,1137,4892
63.161.65.1,4/10/2019,684287,3720,105,136,306,411,474,2288
63.166.158.194,4/11/2019,684287,1587,82,130,201,191,186,797
63.171.232.38,4/12/2019,684287,52372,418,735,2007,2956,4312,41944
63.171.232.39,4/12/2019,684287,53667,429,720,2061,3092,4418,42947
63.214.241.10,4/8/2019,684287,15109,149,284,1033,2308,3825,7510
63.218.44.186,4/10/2019,684287,208675,8514,11139,26445,32666,27274,102637
63.238.52.1,4/10/2019,684287,86056,456,2708,8532,7355,9081,57924
63.238.52.2,4/11/2019,684287,86785,477,2655,8563,7543,9258,58289
63.240.1.42,4/12/2019,684287,20246,539,1420,2862,2481,2628,10316
63.240.1.43,4/9/2019,684287,13507,454,1164,2468,1865,1889,5667
63.240.1.44,4/11/2019,684287,19939,595,1453,2872,2428,2663,9928
63.240.76.4,4/12/2019,684287,1669,88,118,197,195,222,849
63.240.76.198,4/11/2019,684287,1605,73,141,197,194,198,802
63.245.32.11,4/10/2019,684287,1596,85,129,199,207,190,786
63.246.63.142,4/11/2019,684287,86856,512,2543,9424,10065,10000,54312
63.246.64.8,4/11/2019,684287,6689,94,147,389,745,1546,3768
63.246.64.9,4/10/2019,684287,6671,92,158,359,703,1625,3734
63.247.192.19,4/10/2019,684287,4720,392,370,355,408,446,2749
63.249.32.22,4/11/2019,684287,20579,416,1088,3073,3395,2257,10350
63.251.129.1,4/12/2019,684287,300087,3094,6857,19884,31849,34854,203549
63.251.161.1,4/12/2019,684287,158879,5421,8949,6936,19735,22808,95030
63.251.161.33,4/12/2019,684287,158816,5358,8989,6896,19925,22899,94749
64.0.55.201,4/9/2019,684287,55782,593,2973,8426,8258,7587,27945
64.13.0.5,4/9/2019,684287,22493,226,464,2553,2535,2186,14529
64.13.24.5,4/10/2019,684287,35594,611,522,1934,3380,4148,24999
64.13.32.5,4/10/2019,684287,36171,175,661,2559,5522,5319,21935
64.13.36.5,4/11/2019,684287,2135,168,136,208,272,250,1101
64.13.40.5,4/11/2019,684287,1642,75,110,206,211,211,829
64.13.48.12,4/11/2019,684287,100401,7089,4491,4337,10356,13891,60237
64.13.50.100,4/11/2019,684287,12223,1490,1111,1288,608,698,7028
64.13.64.5,4/11/2019,684287,1675,67,140,228,194,207,839
64.15.64.91,4/10/2019,684287,16542,640,604,1518,1462,1717,10601
64.19.76.8,4/10/2019,684287,7716,95,181,371,539,1177,5353
64.19.76.10,4/10/2019,684287,6017,83,144,325,382,522,4561
64.20.26.17,4/10/2019,684287,30605,194,594,2883,3317,3152,20465
64.20.26.145,4/11/2019,684287,25955,167,402,2120,2926,2745,17595
64.21.232.2,4/11/2019,684287,3907,114,166,294,364,479,2490
64.30.60.2,4/11/2019,684287,1912,72,115,209,206,257,1053
64.30.215.129,4/10/2019,684287,31372,462,1783,5246,3687,4556,15638
64.31.84.1,4/10/2019,684287,1562,80,105,187,184,202,804
64.31.133.194,4/11/2019,684287,1504,82,121,183,170,180,768
64.37.182.132,4/11/2019,684287,6257,165,414,1125,843,834,2876
64.37.182.133,4/11/2019,684287,6125,156,437,1010,863,798,2861
64.39.212.138,4/11/2019,684287,11129,459,256,384,543,954,8533
64.39.212.139,4/10/2019,684287,11116,481,264,393,560,925,8493
64.46.64.254,4/11/2019,684287,1544,82,129,199,194,190,750
64.55.144.10,4/10/2019,684287,1568,71,101,191,195,218,792
64.56.129.2,4/11/2019,684287,65041,480,1063,2330,4397,6838,49933
64.58.4.2,4/11/2019,684287,27937,1942,544,891,1924,2794,19842
64.58.15.2,4/10/2019,684287,30151,2174,444,1079,2159,3459,20836
64.59.135.133,4/11/2019,684287,4805,1598,384,1148,499,367,809
64.59.135.143,4/12/2019,684287,4819,1570,368,1160,541,381,799
64.59.135.145,4/11/2019,684287,4912,1592,404,1180,529,353,854
64.59.144.16,4/10/2019,684287,4835,1800,1079,448,317,252,939
64.59.144.17,4/10/2019,684287,4814,1754,1092,449,303,229,987
64.59.144.18,4/12/2019,684287,4860,1751,1115,465,332,249,948
64.59.144.92,4/9/2019,684287,4873,1704,1197,454,299,266,953
64.59.160.13,4/11/2019,684287,4837,593,1956,636,304,341,1007
64.59.168.13,4/11/2019,684287,4850,892,939,1271,538,291,919
64.59.176.13,4/10/2019,684287,4882,656,831,781,833,428,1353
64.59.184.13,4/10/2019,684287,4854,1500,321,1274,519,386,854
64.61.99.2,4/10/2019,684287,56370,333,1205,4042,7736,8593,34461
64.65.64.17,4/10/2019,684287,1612,85,123,224,203,176,801
64.68.200.200,4/10/2019,684287,32372,2447,2306,1853,2555,3238,19973
64.69.67.228,4/10/2019,684287,1594,75,118,205,203,193,800
64.69.71.11,4/11/2019,684287,1549,71,108,192,211,188,779
64.69.98.35,4/12/2019,684287,5269,121,144,241,578,780,3405
64.69.100.68,4/12/2019,684287,4936,105,136,249,561,710,3175
64.71.255.198,4/10/2019,684287,5589,2420,735,333,275,272,1554
64.72.224.34,4/10/2019,684287,34042,1086,1419,2299,2628,3208,23402
64.75.176.66,4/10/2019,684287,1546,90,126,164,181,196,789
64.79.200.111,4/11/2019,684287,1544,78,122,188,196,209,751
64.79.200.113,4/7/2019,684287,1525,69,130,194,183,184,765
64.80.203.194,4/12/2019,684287,111717,390,1039,4438,11194,17799,76857
64.80.255.240,4/12/2019,684287,114760,408,1529,5486,10664,16466,80207
64.80.255.251,4/12/2019,684287,102866,387,1552,5265,9518,14449,71695
64.81.45.2,4/12/2019,684287,63568,1574,4208,8793,9671,8257,31065
64.81.79.2,4/12/2019,684287,76908,2051,4432,14385,16060,8865,31115
64.81.111.2,4/1/2019,684287,6044,396,533,599,913,722,2881
64.81.127.2,4/12/2019,684287,139757,3515,9417,16848,15469,19796,74712
64.81.159.2,4/12/2019,684287,172714,7200,14808,21398,21666,25257,82385
64.85.177.10,4/11/2019,684287,61626,300,1629,6986,6659,7241,38811
64.85.177.11,4/5/2019,684287,60678,289,1509,6649,6679,7172,38380
64.85.239.20,4/11/2019,684287,8636,174,444,1122,1034,1279,4583
64.90.209.53,4/10/2019,684287,11692,121,185,421,677,1147,9141
64.91.3.60,4/11/2019,684287,43599,639,729,2035,3855,4921,31420
64.91.89.2,4/11/2019,684287,38906,265,1164,3924,3530,4080,25943
64.91.92.22,4/11/2019,684287,50143,460,2318,5531,4173,5703,31958
64.94.1.1,4/12/2019,684287,311013,11542,24880,35887,31974,31706,175024
64.94.33.1,4/12/2019,684287,310644,11822,19927,28876,31861,40754,177404
64.94.33.33,4/12/2019,684287,310710,12157,19866,28690,31912,40504,177581
64.102.255.43,4/11/2019,684287,21587,1255,554,1435,2245,2305,13793
64.102.255.44,4/11/2019,684287,20576,1208,515,1442,2117,2193,13101
64.105.97.90,4/12/2019,684287,119456,2774,6919,10750,9957,17799,71257
64.105.156.138,4/12/2019,684287,61931,918,564,4130,12204,11110,33005
64.105.159.250,4/12/2019,684287,132064,1228,4116,21663,26482,22308,56267
64.105.163.106,4/12/2019,684287,47470,3285,3374,2475,8102,7368,22866
64.105.172.26,4/11/2019,684287,37113,1129,2668,8027,8289,5787,11213
64.105.179.138,4/12/2019,684287,83394,957,1622,11120,11735,11203,46757
64.105.189.26,4/12/2019,684287,150009,7558,14331,19180,17686,22691,68563
64.105.199.74,4/12/2019,684287,128791,1620,6482,18460,25096,20882,56251
64.105.199.76,4/12/2019,684287,130416,1716,6703,18786,26014,21045,56152
64.105.202.138,4/12/2019,684287,108543,3446,6625,10227,13323,15670,59252
64.119.60.5,4/12/2019,684287,253179,1004,2721,17609,26511,30734,174600
64.119.60.9,4/12/2019,684287,244117,886,2536,16641,25495,29736,168823
64.119.104.3,4/10/2019,684287,1573,78,117,204,193,215,766
64.119.104.130,4/11/2019,684287,1511,59,116,216,178,189,753
64.126.133.1,4/11/2019,684287,14481,120,429,1817,1425,1622,9068
64.126.155.1,4/10/2019,684287,9211,114,237,1112,1003,945,5800
64.127.100.11,4/12/2019,684287,26114,334,906,2784,3937,5989,12164
64.128.144.5,4/12/2019,684287,6826,73,165,413,841,739,4595
64.129.67.100,4/12/2019,684287,1524,76,111,176,198,198,765
64.129.67.101,4/8/2019,684287,2343,137,138,210,213,264,1381
64.129.67.102,4/4/2019,684287,1627,84,140,219,199,209,776
64.129.67.103,4/11/2019,684287,1617,89,121,189,201,204,813
64.129.67.104,4/11/2019,684287,1491,74,110,177,179,179,772
64.129.67.105,4/12/2019,684287,1503,74,106,172,196,178,777
64.130.108.18,4/12/2019,684287,9511,154,361,930,1212,1107,5747
64.131.31.2,4/12/2019,684287,1571,83,138,173,201,222,754
64.135.2.250,4/8/2019,684287,42236,2825,5891,5085,4202,4370,19863
64.136.44.73,4/6/2019,684287,340767,3781,14209,42918,53841,42070,183948
64.136.52.73,4/12/2019,684287,164993,1331,2998,15047,23135,21855,100627
64.136.164.77,4/11/2019,684287,29230,154,341,1059,1907,2891,22878
64.136.173.5,4/11/2019,684287,27061,175,295,943,1571,2612,21465
64.140.128.10,4/11/2019,684287,23816,138,306,1058,2436,3754,16124
64.140.128.11,4/11/2019,684287,19355,110,256,819,1786,3155,13229
64.140.192.60,4/12/2019,684287,4185,108,142,294,319,318,3004
64.146.192.16,4/9/2019,684287,4898,151,453,705,650,510,2429
64.173.195.2,4/11/2019,684287,13650,143,214,484,773,987,11049
64.184.32.2,4/11/2019,684287,18867,130,252,579,1069,2079,14758
64.186.192.2,4/11/2019,684287,14203,150,318,690,1018,1292,10735
64.187.29.134,4/12/2019,684287,210107,4651,4671,9804,22379,20039,148563
64.191.128.10,4/10/2019,684287,19010,402,280,680,1760,3718,12170
64.191.128.101,4/9/2019,684287,19079,425,302,688,1737,3639,12288
64.191.212.32,4/10/2019,684287,1548,62,111,201,185,191,798
64.192.0.10,4/12/2019,684287,27494,150,378,1714,3932,4262,17058
64.193.87.67,4/9/2019,684287,3580,83,126,243,242,321,2565
64.203.254.30,4/10/2019,684287,17828,168,445,2144,1760,1741,11570
64.207.238.250,4/12/2019,684287,34650,346,543,2757,4953,5502,20549
64.212.106.84,4/12/2019,684287,346429,20883,53016,73028,45334,33786,120382
64.215.98.148,4/12/2019,684287,300050,26708,66041,90674,43566,26105,46956
64.218.170.254,4/11/2019,684287,14223,115,279,1120,2178,2103,8428
64.222.84.243,4/12/2019,684287,16543,365,312,846,1378,1641,12001
64.222.165.243,4/11/2019,684287,19007,582,324,769,1075,1548,14709
64.222.212.243,4/12/2019,684287,19365,375,366,893,1426,1927,14378
64.233.128.10,4/7/2019,684287,22691,137,306,978,1700,2981,16589
64.233.128.11,4/12/2019,684287,22485,166,308,996,1627,3048,16340
64.233.207.2,4/12/2019,684287,61007,826,2287,9459,5971,5617,36847
64.233.207.16,4/12/2019,684287,64821,982,2640,10377,6152,5939,38731
64.242.250.9,4/12/2019,684287,7879,306,715,1451,1025,959,3423
64.251.68.10,4/11/2019,684287,2412,84,162,269,285,423,1189
64.254.100.20,4/12/2019,684287,58703,1279,4408,8691,8349,8163,27813
64.255.237.240,4/12/2019,684287,7443,191,409,868,743,546,4686
64.255.237.241,4/8/2019,684287,7542,187,397,904,699,541,4814
64.255.237.246,4/11/2019,684287,7502,190,402,909,748,505,4748
64.255.237.247,4/11/2019,684287,7561,190,407,878,757,551,4778
64.255.245.10,4/11/2019,684287,1668,98,119,219,196,225,811
64.255.245.11,4/8/2019,684287,1624,76,119,198,191,189,851
65.24.0.171,4/11/2019,684049,1559,81,130,198,192,183,775
65.24.0.172,4/8/2019,684049,1641,77,127,199,202,226,810
65.32.3.74,4/8/2019,684287,1570,80,123,185,218,198,766
65.32.5.74,4/11/2019,684287,9549,2530,283,486,820,695,4735
65.32.5.111,4/10/2019,684287,12027,2973,299,658,1201,942,5954
65.32.5.112,4/11/2019,684287,12474,3026,315,763,1276,882,6212
65.38.1.2,4/11/2019,684287,19534,624,403,1225,1839,4522,10921
65.38.1.4,4/11/2019,684287,17188,589,376,817,1674,4094,9638
65.39.104.1,4/11/2019,684287,1501,63,110,185,185,212,746
65.39.196.215,4/11/2019,684287,1501,68,95,180,189,208,761
65.54.238.69,4/11/2019,684287,18187,750,1579,2156,3574,3271,6857
65.68.49.50,4/12/2019,684287,54847,1036,2859,7400,7170,7300,29082
65.68.49.51,4/12/2019,684287,55176,1343,3234,7826,7376,7400,27997
65.73.172.4,4/11/2019,684287,41617,182,414,1391,2814,4823,31993
65.74.130.5,4/11/2019,684287,151254,556,2396,16214,27920,17962,86206
65.74.130.6,4/10/2019,684287,69616,406,1367,7510,12908,9455,37970
65.74.141.197,4/11/2019,684287,1476,77,112,171,195,180,741
65.77.164.5,4/11/2019,684287,2224,79,121,229,243,242,1310
65.88.88.2,4/11/2019,684287,40024,1838,3604,6123,5838,5474,17147
65.90.11.8,4/11/2019,684287,14415,105,217,552,1089,2994,9458
65.112.145.66,4/11/2019,684287,4112,95,163,302,448,643,2461
65.114.168.20,4/10/2019,684287,1624,82,124,205,210,205,798
65.116.91.21,4/11/2019,684287,1536,61,120,188,195,200,772
65.117.136.3,4/5/2019,684287,1549,74,129,213,204,205,724
65.160.225.8,4/11/2019,684287,22406,155,332,1565,2960,3118,14276
65.162.184.33,4/11/2019,684287,1645,123,123,193,207,198,801
65.163.107.11,4/9/2019,684287,104737,720,572,2216,5987,8941,86301
65.174.123.164,4/6/2019,684287,1578,79,130,198,178,203,790
65.175.90.2,4/9/2019,684287,5944,113,160,491,1473,1181,2526
65.175.128.47,4/12/2019,684287,21340,309,371,997,1461,2274,15928
65.175.128.240,4/12/2019,684287,19295,279,254,783,1198,1863,14918
65.182.32.146,4/9/2019,684287,4850,569,604,586,418,468,2205
65.182.169.10,4/11/2019,684287,1644,72,135,184,208,219,826
65.183.0.86,4/12/2019,684287,11258,312,510,1355,1431,1152,6498
65.183.98.90,4/12/2019,684287,215439,912,2739,16639,22358,24015,148776
65.196.203.13,4/11/2019,684287,6593,143,154,542,1418,1593,2743
65.196.203.193,4/11/2019,684287,2285,83,116,231,274,401,1180
65.196.203.194,4/10/2019,684287,2271,80,138,203,268,387,1195
65.204.194.12,4/12/2019,684287,1428,71,96,177,166,206,712
65.208.122.36,4/8/2019,684287,1633,120,141,202,192,200,778
65.208.122.70,4/11/2019,684287,1589,121,127,160,209,162,810
65.247.145.15,4/11/2019,684287,1491,73,125,169,174,194,756
65.255.98.252,4/10/2019,684287,16823,167,352,937,1416,2123,11828
66.3.192.66,4/8/2019,684287,20243,107,273,933,2009,3206,13715
66.6.65.5,4/12/2019,684287,3245,113,127,218,367,440,1980
66.7.142.78,4/9/2019,684287,65056,524,2543,8439,12962,11890,28698
66.7.160.122,4/11/2019,684287,129789,1962,6637,19018,24540,18910,58722
66.7.201.45,4/10/2019,684287,14812,1015,1920,2521,2038,1380,5938
66.8.94.93,4/11/2019,684287,1685,154,183,196,182,177,793
66.9.182.1,4/11/2019,684287,137945,2981,9557,16025,15843,18968,74571
66.18.32.2,4/5/2019,684287,33404,354,1287,5100,3344,3232,20087
66.18.32.3,4/10/2019,684287,33526,374,1257,5131,3275,3356,20133
66.18.176.162,4/10/2019,684287,3708,83,129,263,460,572,2201
66.28.0.45,4/12/2019,684287,482360,29877,66927,119874,98430,62715,104537
66.28.28.210,4/11/2019,684287,38276,976,2665,5338,3899,4954,20444
66.36.120.1,4/11/2019,684287,2640,77,237,262,269,271,1524
66.36.230.189,4/11/2019,684287,12062,139,375,1249,1835,2079,6385
66.36.250.14,4/11/2019,684287,1475,65,96,194,185,197,738
66.37.236.22,4/10/2019,684287,4259,180,147,306,338,537,2751
66.38.192.233,4/10/2019,684287,90248,395,2303,4061,7045,9092,67352
66.38.212.248,4/10/2019,684287,1460,70,100,186,191,193,720
66.44.144.10,4/11/2019,684287,6868,148,172,402,409,544,5193
66.49.220.95,4/9/2019,684287,16094,330,859,952,1653,1687,10613
66.51.128.240,4/8/2019,684287,30674,1300,3292,2463,1869,3424,18326
66.51.128.241,4/11/2019,684287,29791,1325,3195,2497,1670,3169,17935
66.51.205.100,4/12/2019,684287,96443,2566,6656,14326,13698,11696,47501
66.51.206.100,4/8/2019,684287,175036,3031,9630,21064,23264,21062,96985
66.51.206.102,4/6/2019,684287,1513,64,133,179,197,187,753
66.59.235.1,4/11/2019,684287,31527,409,1839,5132,3793,4598,15756
66.63.192.2,4/11/2019,684287,49597,492,580,3006,6639,7544,31336
66.71.191.35,4/11/2019,684287,3439,119,186,629,486,442,1577
66.75.160.38,4/12/2019,684287,23313,635,677,2455,2614,2959,13973
66.75.160.39,4/12/2019,684287,24975,651,736,2670,2729,3270,14919
66.75.164.5,4/12/2019,684049,1528,76,109,189,169,199,786
66.77.220.70,4/9/2019,684287,24883,760,2112,2641,4346,5151,9873
66.78.202.254,4/10/2019,684287,30666,178,748,2860,5396,3821,17663
66.80.130.18,4/12/2019,684287,82886,1091,4776,17327,18346,7772,33574
66.80.130.35,4/11/2019,684287,44605,896,1667,2306,3752,5616,30368
66.81.0.251,4/12/2019,684287,108959,459,1266,6591,15040,13440,72163
66.81.0.252,4/11/2019,684287,71916,306,861,3901,8984,9173,48691
66.81.1.252,4/11/2019,684287,64063,350,1652,7963,10180,8474,35444
66.90.130.10,4/9/2019,684287,13335,289,294,741,1591,3053,7367
66.90.133.117,4/12/2019,684287,14541,300,301,770,1710,3307,8153
66.90.138.145,4/11/2019,684287,1660,167,169,202,194,191,737
66.92.64.2,4/12/2019,684287,137965,2189,5687,14876,19840,20680,74693
66.92.159.2,4/12/2019,684287,157804,1565,6114,21012,30674,28025,70414
66.92.224.2,4/12/2019,684287,154484,2195,7317,23294,25879,25024,70775
66.93.87.2,4/12/2019,684287,109988,3362,3871,8451,16722,14113,63469
66.94.9.120,4/11/2019,684287,1618,66,96,210,192,212,842
66.94.25.120,4/4/2019,684287,1995,91,93,198,202,197,1214
66.109.229.4,4/12/2019,684287,68187,362,632,2702,7755,10844,45892
66.109.229.6,4/12/2019,684287,58290,341,601,2360,6414,9160,39414
66.110.61.66,4/10/2019,684287,1362,62,108,181,163,171,677
66.111.113.7,4/11/2019,684287,4862,120,194,321,296,337,3594
66.111.113.8,4/12/2019,684287,4672,101,183,272,275,334,3507
66.112.11.87,4/11/2019,684287,36053,612,801,2025,4938,5827,21850
66.112.11.88,4/10/2019,684287,36361,616,758,2075,4778,5906,22228
66.115.210.4,4/11/2019,684287,1541,82,97,181,203,208,770
66.115.210.5,4/11/2019,684287,1515,88,110,182,194,187,754
66.117.136.5,4/8/2019,684287,1495,57,118,191,182,179,768
66.117.136.6,4/11/2019,684287,1625,86,121,213,231,200,774
66.118.80.4,4/12/2019,684287,129314,1088,1199,5477,14127,20718,86705
66.118.80.5,4/12/2019,684287,111102,1057,1127,5006,13665,18982,71265
66.119.93.4,4/11/2019,684287,48409,518,2559,7269,5006,4659,28398
66.119.95.4,4/9/2019,684287,7711,181,681,1449,1087,850,3463
66.119.189.138,4/11/2019,684287,11150,699,1339,1242,627,812,6431
66.128.32.68,4/11/2019,684287,1500,75,111,182,187,201,744
66.128.32.70,4/8/2019,684287,1646,113,124,204,199,190,816
66.128.32.82,4/10/2019,684287,1547,59,115,176,203,184,810
66.128.240.7,4/11/2019,684287,7047,113,243,737,910,646,4398
66.128.240.8,4/11/2019,684287,7120,111,256,759,929,645,4420
66.129.161.251,4/10/2019,684287,6070,212,913,593,632,786,2934
66.133.111.200,4/9/2019,684287,23423,515,784,794,1138,2110,18082
66.133.150.12,4/12/2019,684287,46394,239,518,2902,5822,6198,30715
66.133.170.2,4/11/2019,684287,40519,240,355,1142,2364,4715,31703
66.135.16.4,4/11/2019,684287,6318,90,112,295,401,604,4816
66.146.160.13,4/9/2019,684287,21448,333,451,2218,3594,2255,12597
66.151.145.1,4/12/2019,684287,179710,3221,7920,25050,27021,21087,95411
66.153.50.66,4/12/2019,684287,52245,266,941,2926,4293,6600,37219
66.153.128.98,4/10/2019,684287,1576,121,103,194,193,174,791
66.158.128.11,4/6/2019,684287,2579,121,148,220,296,337,1457
66.158.128.131,4/10/2019,684287,2571,115,137,260,270,321,1468
66.163.0.161,4/12/2019,684287,296409,8984,7456,12603,26874,28852,211640
66.163.0.173,4/12/2019,684287,298333,9103,7305,12825,27110,29187,212803
66.165.46.82,4/11/2019,684287,1523,77,105,206,205,203,727
66.165.160.179,4/4/2019,684287,11109,1250,2274,1368,1175,1160,3882
66.165.160.180,4/11/2019,684287,11215,1229,2368,1414,1195,1179,3830
66.169.79.202,4/6/2019,684287,1933,78,165,221,296,245,928
66.175.131.32,4/11/2019,684287,1615,82,108,217,188,213,807
66.178.152.10,4/12/2019,684287,111835,804,5283,4893,12865,15651,72339
66.178.167.3,4/12/2019,684287,84775,290,1440,4285,6170,14221,58369
66.179.12.115,4/11/2019,684287,49813,590,2960,5562,4702,5328,30671
66.182.128.1,4/10/2019,684287,1805,76,134,244,220,211,920
66.182.208.5,4/12/2019,684287,255826,1796,7376,24878,29039,38771,153966
66.187.16.5,4/11/2019,684287,4919,142,202,427,549,615,2984
66.187.16.6,4/10/2019,684287,3712,118,151,324,439,522,2158
66.189.0.5,4/12/2019,684287,15628,1057,241,461,1123,1551,11195
66.189.0.29,4/12/2019,684287,14807,1025,223,472,1106,1456,10525
66.189.0.30,4/12/2019,684287,15637,1067,241,478,1154,1522,11175
66.189.130.5,4/11/2019,684287,1768,91,101,197,187,233,959
66.189.132.4,4/11/2019,684287,2333,80,129,255,275,280,1314
66.193.182.139,4/9/2019,684287,16556,165,203,598,1419,2783,11388
66.195.129.11,4/8/2019,684287,30323,244,1210,7066,5073,2598,14132
66.199.112.2,4/1/2019,684287,1475,74,119,189,179,176,738
66.199.228.254,4/10/2019,684287,9230,222,632,1502,1401,1214,4259
66.203.66.203,4/3/2019,684287,237679,2067,4719,13492,24929,30717,161755
66.203.72.10,4/11/2019,684287,159959,1067,2813,8202,16001,20138,111738
66.209.10.201,4/11/2019,684287,1538,76,131,181,187,205,758
66.209.10.202,4/11/2019,684287,1471,70,97,175,184,194,751
66.209.96.106,4/11/2019,684287,90522,1248,5138,12030,11145,10267,50694
66.209.192.5,4/11/2019,684287,19949,120,501,1521,4300,4386,9121
66.212.194.11,4/11/2019,684287,1646,84,98,200,210,191,863
66.214.48.27,4/11/2019,684287,9255,192,309,714,1590,1101,5349
66.215.64.14,4/11/2019,684287,4809,802,492,735,583,477,1720
66.216.18.222,4/12/2019,684287,244410,7044,18163,30498,25059,27316,136330
66.218.44.5,4/12/2019,684287,172549,2071,6427,22423,26699,20685,94244
66.218.245.10,4/10/2019,684287,2067,62,131,221,217,244,1192
66.223.232.198,4/9/2019,684287,8445,205,149,344,503,731,6513
66.234.185.2,4/5/2019,684287,33493,238,482,2441,6398,4130,19804
66.240.48.9,4/10/2019,684287,1495,72,97,168,216,168,774
66.242.160.5,4/12/2019,684287,30725,173,503,2863,6065,5755,15366
66.242.160.6,4/10/2019,684287,25444,121,414,2171,4861,5105,12772
66.244.95.20,4/11/2019,684287,19745,129,273,957,2774,4445,11167
66.246.218.29,4/5/2019,684287,2326,81,143,282,324,309,1187
66.252.170.3,4/12/2019,684287,97575,1110,4320,11793,12385,11374,56593
66.252.241.25,4/11/2019,684287,10336,100,158,337,502,869,8370
66.253.230.60,4/9/2019,684287,24195,183,313,980,2177,3556,16986
67.14.192.2,4/11/2019,684287,10900,165,198,418,968,1945,7206
67.14.192.3,4/5/2019,684287,10512,148,188,426,998,1822,6930
67.15.31.131,4/9/2019,684287,17499,360,927,1870,2676,2727,8939
67.15.193.166,4/9/2019,684287,24255,231,464,1546,4105,5431,12478
67.15.193.167,4/11/2019,684287,24391,241,458,1587,4158,5337,12610
67.15.193.168,4/11/2019,684287,24252,254,444,1536,4083,5400,12535
67.15.193.170,4/9/2019,684287,24234,218,501,1580,4074,5337,12524
67.15.193.171,4/10/2019,684287,24245,244,498,1507,4112,5310,12574
67.17.215.132,4/12/2019,684287,266409,16446,45123,71393,41532,24960,66955
67.19.0.10,4/2/2019,684287,20338,672,1788,3417,2329,1924,10208
67.19.0.199,4/10/2019,684287,1521,81,117,193,190,183,757
67.19.1.10,4/10/2019,684287,20391,714,1808,3449,2351,1856,10213
67.55.0.11,4/10/2019,684287,28365,461,834,1376,2888,2832,19974
67.58.192.10,4/10/2019,684287,3100,60,232,812,425,299,1272
67.90.152.122,4/9/2019,684287,85826,395,2013,7866,9651,11313,54588
67.100.88.27,4/12/2019,684287,55364,689,2293,9629,13850,7409,21494
67.107.71.186,4/10/2019,684287,100052,2332,5799,9883,9463,14171,58404
67.114.50.146,4/11/2019,684287,1495,80,149,201,177,172,716
67.114.50.149,4/10/2019,684287,1418,73,100,184,183,183,695
67.138.54.100,4/9/2019,684287,1458,80,110,186,183,177,722
67.198.198.215,4/10/2019,684287,17717,615,1759,2308,1965,2481,8589
67.201.32.11,4/5/2019,684287,4823,98,222,700,765,719,2319
67.201.32.12,4/10/2019,684287,4796,112,267,743,716,699,2259
67.214.64.27,4/9/2019,684287,56480,329,791,4337,5262,6228,39533
68.1.18.25,4/11/2019,684287,41524,1209,3288,4952,3601,4523,23951
68.1.18.30,4/11/2019,684287,41310,1186,3448,4905,3594,4382,23795
68.1.18.237,4/11/2019,684287,38904,597,1973,5587,3964,4202,22581
68.2.16.25,4/11/2019,684287,26356,2651,1320,1331,2277,3502,15275
68.2.16.30,4/11/2019,684287,26649,2903,1446,1307,2258,3423,15312
68.4.16.25,4/11/2019,684287,49228,2345,3059,8561,5969,5738,23556
68.4.16.30,4/11/2019,684287,49505,2451,3153,8695,5881,5845,23480
68.6.16.25,4/11/2019,684287,32665,2468,1624,2542,2457,2615,20959
68.6.16.30,4/11/2019,684287,32951,2682,1716,2581,2431,2496,21045
68.9.16.25,4/11/2019,684287,30981,1498,623,1921,3206,4737,18996
68.9.16.30,4/11/2019,684287,31124,1498,631,1870,3217,4845,19063
68.9.16.245,4/12/2019,684287,27788,1447,563,1782,2952,4150,16894
68.10.16.25,4/11/2019,684287,40592,664,567,2268,4294,6746,26053
68.10.16.30,4/11/2019,684287,40608,657,564,2260,4368,6830,25929
68.11.16.25,4/11/2019,684287,19007,741,281,843,2065,4309,10768
68.11.16.30,4/11/2019,684287,18874,728,282,843,2074,4305,10642
68.12.16.25,4/11/2019,684287,25527,1976,658,1951,5747,4213,10982
68.12.16.30,4/11/2019,684287,25410,1998,660,1902,5769,4161,10920
68.13.16.25,4/11/2019,684287,20608,1073,509,1041,1990,3052,12943
68.13.16.30,4/11/2019,684287,20520,1115,503,1055,1982,3088,12777
68.28.50.11,4/10/2019,684287,3784,63,142,345,854,383,1997
68.28.50.91,4/9/2019,684287,23005,168,520,2604,3327,3104,13282
68.28.58.11,4/11/2019,684287,2610,68,120,209,223,235,1755
